input,output
"('forman', 'Action', 'bloqueadas', 'Action')",in-place
"('forman', 'Action', 'venas', 'Concept')",in-place
"('forman', 'Action', 'bloqueos', 'Concept')",target
"('forman', 'Action', 'posteriores', 'Concept')",in-context
"('forman', 'Action', 'arterias', 'Concept')",in-place
"('venas', 'Concept', 'injertadas', 'Concept')",in-context
"('bloqueadas', 'Action', 'pasado', 'Concept')",in-time
"('bloqueadas', 'Action', 'arterias', 'Concept')",target
"('forman', 'Action', 'necesite', 'Action')",entails
"('cantidad', 'Predicate', 'cuerpo', 'Concept')",in-place
"('cantidad', 'Predicate', 'sodio', 'Concept')",arg
"('controlan', 'Action', 'cantidad', 'Predicate')",target
"('controlan', 'Action', 'riñones', 'Concept')",subject
"('acumula', 'Action', 'sangre', 'Concept')",in-place
"('acumula', 'Action', 'sodio', 'Concept')",target
"('eliminarlo', 'Action', 'demasiado', 'Predicate')",target
"('eliminarlo', 'Action', 'riñones', 'Concept')",subject
"('demasiado', 'Predicate', 'cantidad', 'Predicate')",domain
"('eliminarlo', 'Action', 'acumula', 'Action')",entails
"('tratar', 'Action', 'ets', 'Concept')",target
"('tratar', 'Action', 'antibióticos', 'Concept')",subject
"('bacterias', 'Concept', 'ets', 'Concept')",causes
"('hongos', 'Concept', 'ets', 'Concept')",causes
"('parásitos', 'Concept', 'ets', 'Concept')",causes
"('manipulación', 'Action', 'alimentos', 'Concept')",target
"('cocción', 'Action', 'alimentos', 'Concept')",target
"('almacenamiento', 'Action', 'alimentos', 'Concept')",target
"('prevenir', 'Action', 'transmitidas', 'Action')",target
"('prevenir', 'Action', 'medidas de seguridad', 'Concept')",subject
"('transmitidas', 'Action', 'enfermedades', 'Concept')",target
"('transmitidas', 'Action', 'alimentos', 'Concept')",subject
"('medidas de seguridad', 'Concept', 'adecuadas', 'Concept')",in-context
"('adecuadas', 'Concept', 'cocción', 'Action')",in-context
"('adecuadas', 'Concept', 'manipulación', 'Action')",in-context
"('adecuadas', 'Concept', 'almacenamiento', 'Action')",in-context
"('contiene', 'Action', 'células', 'Concept')",target
"('células', 'Concept', 'inmaduras', 'Concept')",in-context
"('células', 'Concept', 'células madre', 'Concept')",same-as
"('reducen', 'Action', 'analgésicos', 'Concept')",subject
"('reducen', 'Action', 'dolores', 'Action')",target
"('reducen', 'Action', 'achaques', 'Concept')",target
"('reducen', 'Action', 'dolores', 'Concept')",target
"('alivian', 'Action', 'analgésicos', 'Concept')",subject
"('alivian', 'Action', 'dolores', 'Action')",target
"('alivian', 'Action', 'achaques', 'Concept')",target
"('alivian', 'Action', 'dolores', 'Concept')",target
"('dolores', 'Action', 'cabeza', 'Concept')",target
"('dolores', 'Action', 'musculares', 'Concept')",target
"('dolores', 'Action', 'artríticos', 'Concept')",target
"('analgésicos', 'Concept', 'medicinas', 'Concept')",is-a
"('dolores', 'Action', 'achaques', 'Concept')",is-a
"('dolores', 'Action', 'dolores', 'Concept')",is-a
"('glucosa', 'Concept', 'azúcar', 'Concept')",same-as
"('glucosa', 'Concept', 'diabetes', 'Concept')",same-as
"('glucosa', 'Concept', 'alta', 'Concept')",has-property
"('producen', 'Action', 'semen', 'Concept')",target
"('producen', 'Action', 'testículos', 'Concept')",subject
"('producen', 'Action', 'hormonas', 'Concept')",target
"('hormonas', 'Concept', 'masculinas', 'Concept')",in-context
"('causa', 'Action', 'muerte', 'Action')",target
"('muerte', 'Action', 'prevenible', 'Concept')",in-context
"('causa', 'Action', 'consumo', 'Action')",same-as
"('trabajo de parto', 'Concept', 'prematuro', 'Concept')",in-context
"('comenzar', 'Action', 'trabajo de parto', 'Concept')",target
"('comenzar', 'Action', 'antes', 'Predicate')",in-time
"('antes', 'Predicate', 'completar', 'Action')",arg
"('completar', 'Action', '37 semanas', 'Predicate')",target
"('37 semanas', 'Predicate', 'embarazo', 'Concept')",arg
"('causa', 'Action', 'trastornos', 'Action')",target
"('trastornos', 'Action', 'personalidad', 'Concept')",target
"('conoce', 'Action', 'causa', 'Action')",target
"('pérdida', 'Action', 'sangre', 'Concept')",target
"('producir', 'Action', 'glóbulos rojos', 'Concept')",target
"('destrucción', 'Action', 'velocidad', 'Concept')",in-context
"('destrucción', 'Action', 'glóbulos rojos', 'Concept')",target
"('causas', 'Action', 'anemia', 'Concept')",target
"('causas', 'Action', 'principales', 'Concept')",in-context
"('pérdida', 'Action', 'anemia', 'Concept')",causes
"('producir', 'Action', 'anemia', 'Concept')",causes
"('destrucción', 'Action', 'anemia', 'Concept')",causes
"('pérdida', 'Action', 'causas', 'Action')",is-a
"('producir', 'Action', 'causas', 'Action')",is-a
"('destrucción', 'Action', 'causas', 'Action')",is-a
"('problemas', 'Action', 'movimientos', 'Action')",target
"('movimientos', 'Action', 'ojo', 'Concept')",target
"('movimientos', 'Action', 'faciales', 'Concept')",target
"('neuralgia del trigémino', 'Concept', 'enfermedades de los nervios', 'Concept')",is-a
"('parálisis de bell', 'Concept', 'enfermedades de los nervios', 'Concept')",is-a
"('enfermedades de los nervios', 'Concept', 'dolor facial', 'Concept')",causes
"('enfermedades de los nervios', 'Concept', 'espasmos', 'Concept')",causes
"('enfermedades de los nervios', 'Concept', 'problemas', 'Action')",causes
"('pasas', 'Action', 'cambios', 'Action')",target
"('pasas', 'Action', 'adolescente', 'Concept')",subject
"('cambios', 'Action', 'sociales', 'Concept')",target
"('cambios', 'Action', 'mentales', 'Concept')",target
"('cambios', 'Action', 'físicos', 'Concept')",target
"('cambios', 'Action', 'emocionales', 'Concept')",target
"('esto', 'Reference', 'dolor pélvico crónico', 'Concept')",causes
"('esto', 'Reference', 'infertilidad', 'Concept')",causes
"('esto', 'Reference', 'embarazo ectópico', 'Concept')",causes
"('grupo', 'Predicate', 'bacterias', 'Concept')",domain
"('involucran', 'Action', 'enfermedades', 'Concept')",subject
"('involucran', 'Action', 'respiración', 'Concept')",target
"('involucran', 'Action', 'huesos', 'Concept')",target
"('involucran', 'Action', 'articulaciones', 'Concept')",target
"('involucran', 'Action', 'sistema nervioso', 'Concept')",target
"('haemophilus', 'Concept', 'grupo', 'Predicate')",is-a
"('haemophilus', 'Concept', 'involucran', 'Action')",causes
"('comenzar', 'Action', 'dolor', 'Action')",target
"('antes', 'Predicate', 'período', 'Concept')",arg
"('antes', 'Predicate', 'dos días', 'Concept')",in-context
"('antes', 'Predicate', 'uno días', 'Concept')",in-context
"('bajar', 'Action', 'menos', 'Predicate')",in-context
"('peso', 'Concept', 'actual', 'Concept')",in-context
"('prevenir', 'Action', 'bajar', 'Action')",subject
"('prevenir', 'Action', 'diabetes', 'Concept')",target
"('retrasar', 'Action', 'bajar', 'Action')",subject
"('retrasar', 'Action', 'diabetes', 'Concept')",target
"('menos', 'Predicate', 'peso', 'Concept')",domain
"('menos', 'Predicate', '5 al 10 %', 'Concept')",arg
"('demostraron', 'Action', 'estos', 'Reference')",subject
"('demostraron', 'Action', 'baja', 'Action')",target
"('demostraron', 'Action', 'mejora', 'Action')",target
"('baja', 'Action', 'dieta dash', 'Concept')",subject
"('baja', 'Action', 'presión arterial', 'Concept')",target
"('mejora', 'Action', 'dieta dash', 'Concept')",subject
"('mejora', 'Action', 'niveles', 'Predicate')",target
"('estos', 'Reference', 'estudios', 'Concept')",is-a
"('delgada', 'Action', 'piel', 'Concept')",subject
"('pierde', 'Action', 'grasa', 'Concept')",target
"('pierde', 'Action', 'piel', 'Concept')",subject
"('tornándose', 'Action', 'piel', 'Concept')",subject
"('tornándose', 'Action', 'suave', 'Concept')",target
"('tornándose', 'Action', 'lisa', 'Concept')",target
"('desaparecer', 'Action', 'estos', 'Reference')",target
"('desaparecer', 'Action', 'después', 'Predicate')",in-time
"('después', 'Predicate', 'par de días', 'Concept')",arg
"('estos', 'Reference', 'síntomas', 'Concept')",is-a
"('confirmar', 'Action', 'diagnóstico', 'Action')",target
"('confirmar', 'Action', 'varios', 'Predicate')",subject
"('diagnóstico', 'Action', 'ebola', 'Concept')",target
"('varios', 'Predicate', 'exámenes de laboratorio', 'Concept')",domain
"('ofrece', 'Action', 'lactancia materna', 'Concept')",subject
"('ofrece', 'Action', 'beneficios', 'Concept')",target
"('ofrece', 'Action', 'bebé', 'Concept')",target
"('producen', 'Action', 'estas', 'Reference')",subject
"('producen', 'Action', 'saliva', 'Concept')",target
"('segregan', 'Action', 'ductos', 'Concept')",in-place
"('segregan', 'Action', 'estas', 'Reference')",subject
"('segregan', 'Action', 'saliva', 'Concept')",target
"('segregan', 'Action', 'hacia', 'Predicate')",in-place
"('saliva', 'Concept', 'esputo', 'Concept')",same-as
"('aberturas', 'Concept', 'ductos', 'Concept')",same-as
"('hacia', 'Predicate', 'boca', 'Concept')",arg
"('hacia', 'Predicate', 'través', 'Predicate')",in-place
"('través', 'Predicate', 'aberturas', 'Concept')",arg
"('sufriendo', 'Action', 'persona', 'Concept')",subject
"('sufriendo', 'Action', 'paro', 'Concept')",target
"('recibir', 'Action', 'sufriendo', 'Action')",subject
"('recibir', 'Action', 'resucitación cardiopulmonar', 'Concept')",target
"('recibir', 'Action', 'hasta', 'Predicate')",in-time
"('hasta', 'Predicate', 'disponible', 'Action')",arg
"('disponible', 'Action', 'desfibrilación', 'Concept')",target
"('resucitación cardiopulmonar', 'Concept', 'rcp', 'Concept')",same-as
"('sufriendo', 'Action', 'recibir', 'Action')",entails
"('surgir', 'Action', 'problemas', 'Concept')",target
"('problemas', 'Concept', 'este', 'Reference')",in-context
"('este', 'Reference', 'proceso', 'Concept')",is-a
"('este', 'Reference', 'surgir', 'Action')",causes
"('presentarse', 'Action', 'después', 'Predicate')",in-time
"('presentarse', 'Action', 'crisis por cálculos', 'Concept')",target
"('después', 'Predicate', 'comidas', 'Action')",arg
"('depresión', 'Concept', 'trastorno bipolar', 'Concept')",part-of
"('debe', 'Action', 'utilizar', 'Action')",target
"('debe', 'Action', 'embarazo', 'Concept')",in-time
"('utilizar', 'Action', 'botox', 'Concept')",target
"('debe', 'Action', 'lactancia', 'Concept')",in-time
"('presionan', 'Action', 'superficies', 'Concept')",subject
"('presionan', 'Action', 'mama', 'Concept')",target
"('haciéndola', 'Action', 'mama', 'Concept')",subject
"('haciéndola', 'Action', 'plana', 'Concept')",target
"('presionan', 'Action', 'haciéndola', 'Action')",causes
"('necesitas', 'Action', 'ayuda', 'Concept')",target
"('habla', 'Action', 'profesional de la salud', 'Concept')",target
"('habla', 'Action', 'consejero escolar', 'Concept')",target
"('habla', 'Action', 'padres', 'Concept')",target
"('necesitas', 'Action', 'habla', 'Action')",entails
"('desaparecer', 'Action', 'espontáneamente', 'Concept')",in-context
"('desaparecer', 'Action', 'verrugas', 'Concept')",target
"('funciona', 'Action', 'eso', 'Reference')",subject
"('funciona', 'Action', 'cirugía', 'Action')",entails
"('mantener', 'Action', 'huesos', 'Concept')",target
"('huesos', 'Concept', 'resistentes', 'Concept')",in-context
"('consuma', 'Action', 'rica', 'Predicate')",target
"('practique', 'Action', 'ejercicios', 'Concept')",target
"('rica', 'Predicate', 'dieta', 'Concept')",domain
"('rica', 'Predicate', 'calcio', 'Concept')",arg
"('rica', 'Predicate', 'vitamina d', 'Concept')",arg
"('consuma', 'Action', 'mantener', 'Action')",causes
"('practique', 'Action', 'mantener', 'Action')",causes
"('fume', 'Action', 'mantener', 'Action')",causes
"('riesgo', 'Predicate', 'diabetes tipo 2', 'Concept')",arg
"('muchas', 'Predicate', 'riesgo', 'Predicate')",has-property
"('inyección', 'Action', 'faltante', 'Action')",target
"('faltante', 'Action', 'torrente sanguíneo', 'Concept')",in-place
"('faltante', 'Action', 'factor de coagulación', 'Concept')",subject
"('inyección', 'Action', 'tratamiento', 'Concept')",is-a
"('tipos', 'Predicate', 'cáncer de garganta', 'Concept')",domain
"('tratamiento', 'Action', 'tipos', 'Predicate')",target
"('terapia', 'Concept', 'dirigida', 'Concept')",in-context
"('terapia', 'Concept', 'tratamiento', 'Action')",part-of
"('afecta', 'Action', 'cáncer de estómago', 'Concept')",subject
"('afecta', 'Action', 'personas mayores', 'Concept')",target
"('dos tercios', 'Predicate', 'personas', 'Concept')",domain
"('personas', 'Concept', 'cáncer de estómago', 'Concept')",in-context
"('mayor', 'Predicate', '65 años', 'Concept')",arg
"('cáncer de estómago', 'Concept', 'tipo', 'Predicate')",is-a
"('dos tercios', 'Predicate', 'mayor', 'Predicate')",has-property
"('formada', 'Action', 'ocho', 'Predicate')",subject
"('formada', 'Action', 'muñeca', 'Concept')",target
"('huesos', 'Concept', 'pequeños', 'Concept')",in-context
"('ocho', 'Predicate', 'huesos', 'Concept')",domain
"('ocho', 'Predicate', 'carpianos', 'Concept')",same-as
"('arriba', 'Predicate', 'riñones', 'Concept')",arg
"('glándulas suprarrenales', 'Concept', 'arriba', 'Predicate')",part-of
"('acumulación', 'Action', 'cuerpo', 'Concept')",in-place
"('acumulación', 'Action', 'sustancias', 'Concept')",target
"('sustancias', 'Concept', 'nocivas', 'Concept')",in-context
"('estos', 'Reference', 'problemas', 'Concept')",is-a
"('estos', 'Reference', 'acumulación', 'Action')",causes
"('llenos', 'Action', 'líquido', 'Concept')",target
"('llenos', 'Action', 'capa', 'Concept')",in-place
"('llenos', 'Action', 'sacos', 'Concept')",target
"('capa', 'Concept', 'externa', 'Concept')",in-context
"('capa', 'Concept', 'piel', 'Concept')",in-place
"('ampollas', 'Concept', 'llenos', 'Action')",same-as
"('trastorno', 'Concept', 'genético', 'Concept')",in-context
"('procesar', 'Action', 'organismo', 'Concept')",subject
"('procesar', 'Action', 'parte', 'Predicate')",target
"('parte', 'Predicate', 'fenilalanina', 'Concept')",domain
"('fenilcetonuria', 'Concept', 'pku', 'Concept')",same-as
"('fenilcetonuria', 'Concept', 'fcu', 'Concept')",same-as
"('fenilcetonuria', 'Concept', 'trastorno', 'Concept')",is-a
"('fenilalanina', 'Concept', 'phe', 'Concept')",same-as
"('fenilalanina', 'Concept', 'pah', 'Concept')",same-as
"('fenilalanina', 'Concept', 'proteína', 'Concept')",is-a
"('fenilcetonuria', 'Concept', 'procesar', 'Action')",entails
"('dura', 'Action', 'estado de coma', 'Concept')",subject
"('dura', 'Action', 'más', 'Predicate')",target
"('más', 'Predicate', '2 a 4 semanas', 'Concept')",arg
"('dura', 'Action', 'rara', 'Concept')",has-property
"('síntoma', 'Concept', 'enfermedad', 'Concept')",in-context
"('hemorragia gastrointestinal', 'Concept', 'enfermedad', 'Concept')",is-a
"('hemorragia gastrointestinal', 'Concept', 'síntoma', 'Concept')",is-a
"('enfermedades', 'Concept', 'retina', 'Concept')",in-place
"('afectan', 'Action', 'enfermedades', 'Concept')",subject
"('afectan', 'Action', 'este', 'Reference')",target
"('este', 'Reference', 'tejido', 'Concept')",is-a
"('este', 'Reference', 'importante', 'Concept')",has-property
"('limita', 'Action', 'inflamación', 'Action')",subject
"('flujo', 'Action', 'sangre', 'Concept')",target
"('flujo', 'Action', 'órganos', 'Concept')",in-place
"('órganos', 'Concept', 'importantes', 'Concept')",in-context
"('inflamación', 'Action', 'daños', 'Action')",causes
"('músculos', 'Concept', 'brazos', 'Concept')",part-of
"('articulaciones', 'Concept', 'brazos', 'Concept')",part-of
"('tendones', 'Concept', 'brazos', 'Concept')",part-of
"('tejidos conectivos', 'Concept', 'brazos', 'Concept')",part-of
"('músculos', 'Concept', 'tejidos conectivos', 'Concept')",is-a
"('articulaciones', 'Concept', 'tejidos conectivos', 'Concept')",is-a
"('tendones', 'Concept', 'tejidos conectivos', 'Concept')",is-a
"('necesitar', 'Action', 'con', 'Predicate')",subject
"('necesitar', 'Action', 'silla de ruedas', 'Concept')",target
"('necesitar', 'Action', 'después', 'Predicate')",in-time
"('con', 'Predicate', 'ataxia de freidreich', 'Concept')",arg
"('aparición', 'Action', 'primer', 'Predicate')",target
"('primer', 'Predicate', 'síntoma', 'Concept')",domain
"('después', 'Predicate', '15 años', 'Concept')",domain
"('después', 'Predicate', '20 años', 'Concept')",arg
"('después', 'Predicate', 'aparición', 'Action')",arg
"('sífilis', 'Concept', 'enfermedad de transmisión sexual', 'Concept')",is-a
"('bacteria', 'Concept', 'sífilis', 'Concept')",causes
"('mitocondrias', 'Concept', 'defectuosas', 'Concept')",in-context
"('tienen', 'Action', 'suficiente', 'Predicate')",target
"('tienen', 'Action', 'células', 'Concept')",subject
"('suficiente', 'Predicate', 'energía', 'Concept')",domain
"('mitocondrias', 'Concept', 'tienen', 'Action')",entails
"('trata', 'Action', 'corticoides', 'Concept')",subject
"('trata', 'Action', 'problemas', 'Concept')",target
"('corticoides', 'Concept', 'esteroides', 'Concept')",is-a
"('pica', 'Action', 'insecto', 'Concept')",subject
"('pica', 'Action', 'rostro', 'Concept')",in-place
"('pica', 'Action', 'lo', 'Reference')",target
"('deja', 'Action', 'insecto', 'Concept')",subject
"('deja', 'Action', 'excrementos', 'Concept')",target
"('excrementos', 'Concept', 'infectados', 'Concept')",in-context
"('pica', 'Action', 'deja', 'Action')",entails
"('esconden', 'Action', 'chinches', 'Concept')",subject
"('esconden', 'Action', 'alrededor', 'Predicate')",in-place
"('alrededor', 'Predicate', 'lugares', 'Concept')",domain
"('alrededor', 'Predicate', 'cama', 'Concept')",arg
"('bacterias', 'Concept', 'sensibles', 'Concept')",in-context
"('mueren', 'Action', 'bacterias', 'Concept')",target
"('toma', 'Action', 'antibióticos', 'Concept')",target
"('toma', 'Action', 'mueren', 'Action')",entails
"('funciones', 'Action', 'bazo', 'Concept')",target
"('algunas', 'Predicate', 'funciones', 'Action')",domain
"('harán', 'Action', 'hígado', 'Concept')",subject
"('harán', 'Action', 'algunas', 'Predicate')",target
"('hígado', 'Concept', 'órganos', 'Concept')",is-a
"('mayores', 'Predicate', 'mujeres', 'Concept')",domain
"('necesitan', 'Action', 'calcio', 'Concept')",target
"('necesitan', 'Action', 'mayores', 'Predicate')",subject
"('prevenir', 'Action', 'osteoporosis', 'Concept')",target
"('prevenir', 'Action', 'necesitan', 'Action')",entails
"('afectar', 'Action', 'uva', 'Concept')",subject
"('afectar', 'Action', 'uvb', 'Concept')",subject
"('afectar', 'Action', 'piel', 'Concept')",target
"('afectar', 'Action', 'llegar', 'Action')",in-context
"('llegar', 'Action', 'uva', 'Concept')",subject
"('llegar', 'Action', 'uvb', 'Concept')",subject
"('llegar', 'Action', 'superficie', 'Predicate')",target
"('superficie', 'Predicate', 'tierra', 'Concept')",domain
"('uva', 'Concept', 'ellos', 'Reference')",is-a
"('uvb', 'Concept', 'ellos', 'Reference')",is-a
"('lesiones', 'Action', 'cerebrales', 'Concept')",target
"('desarrollo', 'Action', 'cerebral', 'Concept')",target
"('desarrollo', 'Action', 'anormal', 'Concept')",in-context
"('causas', 'Action', 'epilepsia', 'Concept')",target
"('enfermedades', 'Concept', 'epilepsia', 'Concept')",causes
"('lesiones', 'Action', 'epilepsia', 'Concept')",causes
"('desarrollo', 'Action', 'epilepsia', 'Concept')",causes
"('beber', 'Action', 'alcohol', 'Concept')",target
"('beber', 'Action', 'daño', 'Action')",causes
"('beber', 'Action', 'angustia', 'Action')",causes
"('angustia', 'Action', 'daño', 'Action')",same-as
"('angustia', 'Action', 'trastorno por consumo de alcohol', 'Concept')",same-as
"('terapia', 'Concept', 'pecho', 'Concept')",in-place
"('terapia', 'Concept', 'física', 'Concept')",in-context
"('terapias', 'Concept', 'nutricionales', 'Concept')",in-context
"('terapias', 'Concept', 'respiratorias', 'Concept')",in-context
"('terapia', 'Concept', 'tratamientos', 'Concept')",is-a
"('terapias', 'Concept', 'tratamientos', 'Concept')",is-a
"('ejercicio', 'Concept', 'tratamientos', 'Concept')",is-a
"('desarrolla', 'Action', 'enfermedad de las arterias coronarias', 'Concept')",subject
"('desarrolla', 'Action', 'lentamente', 'Concept')",in-context
"('desarrolla', 'Action', 'transcurso', 'Action')",in-time
"('transcurso', 'Action', 'tiempo', 'Concept')",target
"('esto', 'Reference', 'enfermedad de las arterias coronarias', 'Concept')",same-as
"('niños', 'Concept', 'pequeños', 'Concept')",in-context
"('riesgos', 'Predicate', 'caídas', 'Action')",arg
"('caídas', 'Action', 'desde', 'Predicate')",in-place
"('desde', 'Predicate', 'muebles', 'Concept')",arg
"('desde', 'Predicate', 'escaleras', 'Concept')",arg
"('presentan', 'Action', 'riesgos', 'Predicate')",target
"('presentan', 'Action', 'niños', 'Concept')",subject
"('presentan', 'Action', 'bebés', 'Concept')",subject
"('otros', 'Reference', 'infecciones por micobacterias atípicas', 'Concept')",causes
"('infecciones por micobacterias atípicas', 'Concept', 'infecciones', 'Concept')",is-a
"('usan', 'Action', 'ecocardiografía', 'Concept')",target
"('diagnosticar', 'Action', 'problemas cardíacos', 'Concept')",target
"('diagnosticar', 'Action', 'médicos', 'Concept')",subject
"('comprobar', 'Action', 'grave', 'Action')",target
"('comprobar', 'Action', 'médicos', 'Concept')",subject
"('grave', 'Action', 'problemas cardíacos', 'Concept')",target
"('diagnosticar', 'Action', 'usan', 'Action')",entails
"('comprobar', 'Action', 'usan', 'Action')",entails
"('delirio', 'Action', 'personas', 'Concept')",subject
"('recuperan', 'Action', 'completo', 'Concept')",in-context
"('recuperan', 'Action', 'delirio', 'Action')",subject
"('enfermedad', 'Concept', 'subyacente', 'Concept')",in-context
"('enfermedad', 'Concept', 'personas', 'Concept')",in-place
"('tratada', 'Action', 'enfermedad', 'Concept')",target
"('tratada', 'Action', 'recuperan', 'Action')",causes
"('deshidratación', 'Concept', 'bebés', 'Concept')",in-place
"('deshidratación', 'Concept', 'niños', 'Concept')",in-place
"('deshidratación', 'Concept', 'ancianos', 'Concept')",in-place
"('deshidratación', 'Concept', 'personas', 'Concept')",in-place
"('personas', 'Concept', 'sistema inmunitario', 'Concept')",in-context
"('sistema inmunitario', 'Concept', 'débil', 'Concept')",in-context
"('deshidratación', 'Concept', 'más', 'Predicate')",has-property
"('distensión', 'Action', 'ligamentos', 'Concept')",target
"('traumatismos', 'Concept', 'hematomas', 'Concept')",causes
"('traumatismos', 'Concept', 'distensión', 'Action')",causes
"('diabetes tipo 2', 'Concept', 'común', 'Concept')",in-context
"('produce', 'Action', 'cuerpo', 'Concept')",subject
"('usa', 'Action', 'bien', 'Concept')",in-context
"('usa', 'Action', 'insulina', 'Concept')",target
"('usa', 'Action', 'cuerpo', 'Concept')",subject
"('diabetes tipo 2', 'Concept', 'produce', 'Action')",causes
"('diabetes tipo 2', 'Concept', 'usa', 'Action')",causes
"('ocurre', 'Action', 'esto', 'Reference')",target
"('desprende', 'Action', 'útero', 'Concept')",subject
"('desprende', 'Action', 'recubrimiento', 'Concept')",target
"('recubrimiento', 'Concept', 'útero', 'Concept')",in-place
"('ocurre', 'Action', 'desprende', 'Action')",entails
"('controlan', 'Action', 'hormonas tiroideas', 'Concept')",subject
"('controlan', 'Action', 'ritmo', 'Predicate')",target
"('ritmo', 'Predicate', 'actividades', 'Action')",arg
"('actividades', 'Action', 'cuerpo', 'Concept')",subject
"('hemorragias', 'Concept', 'anormales', 'Concept')",in-context
"('hormonas', 'Concept', 'hemorragias', 'Concept')",causes
"('problemas tiroideos', 'Concept', 'hemorragias', 'Concept')",causes
"('fibromas', 'Concept', 'hemorragias', 'Concept')",causes
"('pólipos', 'Concept', 'hemorragias', 'Concept')",causes
"('cáncer', 'Concept', 'hemorragias', 'Concept')",causes
"('infecciones', 'Concept', 'hemorragias', 'Concept')",causes
"('embarazo', 'Concept', 'hemorragias', 'Concept')",causes
"('reemplazo de cadera', 'Action', 'daños', 'Predicate')",target
"('daños', 'Predicate', 'severos', 'Concept')",in-context
"('daños', 'Predicate', 'cadera', 'Concept')",in-place
"('daños', 'Predicate', 'personas', 'Concept')",domain
"('reemplazo de cadera', 'Action', 'cirugía', 'Concept')",is-a
"('ofrece', 'Action', 'asesoramiento genético', 'Concept')",subject
"('ofrece', 'Action', 'personas', 'Concept')",target
"('ofrece', 'Action', 'información', 'Concept')",target
"('apoyo', 'Action', 'asesoramiento genético', 'Concept')",subject
"('apoyo', 'Action', 'personas', 'Concept')",target
"('personas', 'Concept', 'riesgos', 'Predicate')",in-context
"('riesgos', 'Predicate', 'trastornos genéticos', 'Concept')",arg
"('inhala', 'Action', 'persona', 'Concept')",subject
"('inhala', 'Action', 'niveles', 'Predicate')",target
"('niveles', 'Predicate', 'altos', 'Concept')",in-context
"('niveles', 'Predicate', 'asbestos', 'Concept')",arg
"('acumularse', 'Action', 'pulmones', 'Concept')",in-place
"('acumularse', 'Action', 'asbestos', 'Concept')",target
"('cicatrices', 'Concept', 'pulmones', 'Concept')",in-place
"('inflamación', 'Action', 'pulmones', 'Concept')",target
"('inhala', 'Action', 'acumularse', 'Action')",entails
"('acumularse', 'Action', 'cicatrices', 'Concept')",causes
"('acumularse', 'Action', 'inflamación', 'Action')",causes
"('detecta', 'Action', 'tiempo', 'Concept')",in-context
"('detecta', 'Action', 'la', 'Reference')",target
"('cura', 'Action', 'la', 'Reference')",target
"('cura', 'Action', 'antibióticos', 'Concept')",subject
"('cura', 'Action', 'fácilmente', 'Concept')",in-context
"('detecta', 'Action', 'cura', 'Action')",entails
"('rayos uvb', 'Concept', 'quemaduras de sol', 'Concept')",causes
"('contagiarse', 'Action', 'sin', 'Predicate')",in-context
"('sin', 'Predicate', 'relaciones sexuales', 'Action')",domain
"('sin', 'Predicate', 'protección', 'Concept')",arg
"('manipular', 'Action', 'alimentos', 'Concept')",target
"('manipular', 'Action', 'cuidado', 'Concept')",in-context
"('prevenir', 'Action', 'estas', 'Reference')",target
"('manipular', 'Action', 'prevenir', 'Action')",causes
"('estas', 'Reference', 'enfermedades', 'Concept')",is-a
"('estirar', 'Action', 'piernas', 'Concept')",target
"('ingiera', 'Action', 'líquido', 'Concept')",target
"('realizar', 'Action', 'viaje', 'Concept')",target
"('viaje', 'Concept', 'largo', 'Concept')",in-context
"('viaje', 'Concept', 'automóvil', 'Concept')",in-context
"('viaje', 'Concept', 'avión', 'Concept')",in-context
"('haga', 'Action', 'pausas', 'Concept')",target
"('pausas', 'Concept', 'caminar', 'Action')",in-context
"('pausas', 'Concept', 'estirar', 'Action')",in-context
"('realizar', 'Action', 'haga', 'Action')",entails
"('realizar', 'Action', 'ingiera', 'Action')",entails
"('rehabilitación', 'Action', 'tras', 'Predicate')",in-time
"('superar', 'Action', 'discapacidades', 'Concept')",target
"('superar', 'Action', 'personas', 'Concept')",subject
"('tras', 'Predicate', 'accidente cerebrovascular', 'Concept')",arg
"('ayudar', 'Action', 'rehabilitación', 'Action')",subject
"('ayudar', 'Action', 'superar', 'Action')",target
"('apoplejía', 'Concept', 'discapacidades', 'Concept')",causes
"('cuidado médico', 'Action', 'regular', 'Concept')",in-context
"('prevenir', 'Action', 'estos', 'Reference')",target
"('prevenir', 'Action', 'cuidado médico', 'Action')",subject
"('prevenir', 'Action', 'tratamiento', 'Action')",subject
"('prevenir', 'Action', 'observación', 'Action')",subject
"('manejar', 'Action', 'estos', 'Reference')",target
"('manejar', 'Action', 'cuidado médico', 'Action')",subject
"('manejar', 'Action', 'tratamiento', 'Action')",subject
"('manejar', 'Action', 'observación', 'Action')",subject
"('estos', 'Reference', 'riesgos', 'Concept')",is-a
"('ayudar', 'Action', 'tener', 'Action')",target
"('ayudar', 'Action', 'estos', 'Reference')",subject
"('cerca', 'Predicate', 'muerte', 'Concept')",arg
"('cerca', 'Predicate', 'personas', 'Concept')",domain
"('tener', 'Action', 'cerca', 'Predicate')",subject
"('tener', 'Action', 'paz', 'Concept')",target
"('tener', 'Action', 'comodidades', 'Concept')",target
"('tener', 'Action', 'dignidad', 'Concept')",target
"('estos', 'Reference', 'cuidados', 'Concept')",is-a
"('problemas', 'Action', 'sistema nasolagrimal', 'Concept')",target
"('producción', 'Action', 'demasiadas', 'Predicate')",target
"('producción', 'Action', 'pocas', 'Predicate')",target
